summary,type,numViews,numLikes,numComments,numShares,engagementRate,numEmojies,numHashtags,numLinks,hashtags,labels,createdAt,link,,,,,,
⁉️ What if...over 400 #B...,Image,5942,133,1,0,0.02255133,4,3,0,"BusinessSchool,BusinessWithPurpose,EFMDdeans",,1/30/2023 12:00,https://www.linkedin.com/feed/update/urn:li:activity:7025779651583094784,,,,,,
It was a pleasure to wel...,Image,5883,120,2,4,0.021417644,2,2,0,"NextBestYou,GlobalExecutiveMBA",,3/15/2023 17:02,https://www.linkedin.com/feed/update/urn:li:activity:7041785208454430720,,,,,,
What will the workplace ...,Article,5729,84,6,4,0.01640775,7,2,1,"IENext50,NextBestYou",,6/13/2023 17:05,https://www.linkedin.com/feed/update/urn:li:activity:7074385036971581441,,,,,,
Full house last Thursday...,Image,5698,102,1,1,0.018252018,1,1,0,NextBestYou,,2/14/2023 17:00,https://www.linkedin.com/feed/update/urn:li:activity:7031291048865742848,,,,,,
I was thrilled to repres...,Image,5652,118,3,1,0.02158528,5,2,0,"NextBestYou,entrepreneurship",,3/30/2023 16:49,https://www.linkedin.com/feed/update/urn:li:activity:7047205931356426241,,,,,,
¿Quieres descubrir cuále...,Image,5598,81,1,3,0.015183994,4,2,1,"IBEX35,NextBestYou",,5/17/2023 16:50,https://www.linkedin.com/feed/update/urn:li:activity:7064600456425013248,,,,,,
Team building with a Pur...,Video (external),5439,86,15,9,0.020224306,3,2,1,"NextBestYou,BusinessWtihPurpose",,1/26/2023 17:30,https://www.linkedin.com/feed/update/urn:li:activity:7024413307985899520,,,,,,
"IE Alumni, we want you t...",Image,5126,86,3,6,0.018532969,4,8,2,"IEAlumni,network,alumni,IEConnects,WeAreIE,NextBestYou,IECommunity",,10/24/2022 17:08,https://www.linkedin.com/feed/update/urn:li:activity:6990328222554959873,,,,,,
"""Build it and they will ...",Text,5043,97,3,0,0.019829467,0,1,0,NextBestYou,,5/13/2023 18:04,https://www.linkedin.com/feed/update/urn:li:activity:7063173299597455360,,,,,,
Great event! 100 top MBA...,Image,4949,87,0,1,0.01778137,3,3,0,"MBAWorldSummit,ShapingPurposefulFutures,NextBestYou",,11/24/2022 14:13,https://www.linkedin.com/feed/update/urn:li:activity:7001533265949913088,,,,,,
Last Friday we were chas...,Image,4857,64,6,2,0.014823965,6,3,0,"NextBestYou,Entrepreneurship,Talent",,11/25/2022 13:03,https://www.linkedin.com/feed/update/urn:li:activity:7001878028184129536,,,,,,
"Heading to Berlin! 🇩🇪  
...",Image,4647,94,4,0,0.021088875,1,4,0,"NextBestYou,PositiveLeadership,NewWorldofWork",,5/4/2023 22:00,https://www.linkedin.com/feed/update/urn:li:activity:7059971096627879936,,,,,,
We have a fantastic Glob...,Image,4436,89,0,2,0.020513977,3,3,0,"GAW2023,WeAreIE,NextBestYou",,6/1/2023 16:20,https://www.linkedin.com/feed/update/urn:li:activity:7070034435047309312,,,,,,
The Global Alumni weeken...,Image,4342,69,0,4,0.016812529,5,3,1,"GAW23,GlobalAlumniWeekend,IEAlumni",,3/13/2023 16:37,https://www.linkedin.com/feed/update/urn:li:activity:7041060338900815875,,,,,,
📣 Calling student and al...,Image,4011,45,3,2,0.012465719,7,2,0,"CustomerExperience,NextBestYou",,6/12/2023 16:17,https://www.linkedin.com/feed/update/urn:li:activity:7074014985789595648,,,,,,
